doi,coder,subfield,title,xml_path,sample_id,gender,race,education,ses,note
10.1371/journal.pone.0202389,HM,Gender identity,"We don’t treat your kind: Assessing HIV health needs holistically among transgender people in Jackson, Mississippi",/scratch/yex8wb/allofplos_corpus/journal.pone.0202389.xml,1,"1, 100% Other","1, 50% White, 43% Black, 7% Other",0,0,
10.1371/journal.pone.0231580,HM,Gender identity,"Heterosexist microaggressions, student academic experience and perception of campus climate: Findings from an Italian higher education context",/scratch/yex8wb/allofplos_corpus/journal.pone.0231580.xml,1,"1, 65.2% Female, 34.8% Male",0,"1, 100% College",0,Full sample was Italian college students
10.1371/journal.pone.0294045,HM,Relaxation (psychology),Investigating the role of the relaxin-3/RXFP3 system in neuropsychiatric disorders and metabolic phenotypes: A candidate gene approach,/scratch/yex8wb/allofplos_corpus/journal.pone.0294045.xml,1,0,0,0,0,"Large scale phenotype study, reported %Male for each pheonotype of interest but no demogrpahics for total study sample"
10.1371/journal.pone.0067932,HM,Relaxation (psychology),Activating and Relaxing Music Entrains the Speed of Beat Synchronized Walking,/scratch/yex8wb/allofplos_corpus/journal.pone.0067932.xml,1,"1, 61% Female, 39% Male",0,0,0,
10.1371/journal.pone.0255149,HM,Psychological adjustment,Psychological adjustment of Spanish adolescents and their parents during COVID-19 lockdown: A mixed method approach,/scratch/yex8wb/allofplos_corpus/journal.pone.0255149.xml,1,0,0,0,1,"Reported % deographics by sample subset, but not for the full sample"
10.1371/journal.pone.0298069,HM,Psychological adjustment,Keeping distance or getting closer: How others’ emotions shape approach-avoidance postural behaviors and preferred interpersonal distance,/scratch/yex8wb/allofplos_corpus/journal.pone.0298069.xml,1,"1, 91% Female, 9% Male",0,"1, 100% College",0,Undergraduate sample
10.1371/journal.pone.0087961,HM,Sexual identity,Sexuality and Gender Role in Autism Spectrum Disorder: A Case Control Study,/scratch/yex8wb/allofplos_corpus/journal.pone.0087961.xml,1,"1, 48% Female, 52% Male","1, 100% White","1, 67% College",0,Notes all particpants of Caucausian descent
10.1371/journal.pone.0316532,HM,Sexual identity,"Racism, homophobia, and the sexual health of young Black men who have sex with men in the United States: A systematic review",/scratch/yex8wb/allofplos_corpus/journal.pone.0316532.xml,1,0,0,0,0,Systematic Review
10.1371/journal.pone.0237508,HM,Pain psychology,The FUTUREPAIN study: Validating a questionnaire to predict the probability of having chronic pain 7-10 years into the future,/scratch/yex8wb/allofplos_corpus/journal.pone.0237508.xml,1,1,1,1,2,"Reported proportions of training cohort and testing cohort, unclear if there was overlap between cohort"
10.1371/journal.pone.0196718,HM,Pain psychology,Comparison of pain burden and psychological factors in Brazilian women living with HIV and chronic neuropathic or nociceptive pain: An exploratory study,/scratch/yex8wb/allofplos_corpus/journal.pone.0196718.xml,1,"1, 100% Female",0,0,0,Female Brazillian cohort
10.1371/journal.pone.0230204,HM,Psychological defense mechanisms,Thai psychiatrists and burnout: A national survey,/scratch/yex8wb/allofplos_corpus/journal.pone.0230204.xml,1,"1, 70.5% Female, 29.5% Male",0,0,0,"Psychiatrist sample, likely all college educated but not stated explicitly"
10.1371/journal.pone.0210717,HM,Psychological defense mechanisms,Perceived stressors and coping mechanisms of female migrant domestic workers in Singapore,/scratch/yex8wb/allofplos_corpus/journal.pone.0210717.xml,1,"1, 100% Female",0,"1, 39% College",0,Reported country of origin not race
